X,Y
-5.613478001000000006e+01,-3.483922417000000138e+01
-5.613570493999999655e+01,-3.484150537000000014e+01
-5.613565013000000192e+01,-3.484064343000000008e+01
-5.612545420000000007e+01,-3.484454946000000319e+01
-5.612606853999999856e+01,-3.484152200999999849e+01
-5.612527082999999806e+01,-3.484378524000000255e+01
-5.615060704999999786e+01,-3.491082703000000009e+01
-5.614923694000000154e+01,-3.490971331000000077e+01
-5.614722248000000349e+01,-3.491211588000000177e+01
-5.615593731999999960e+01,-3.490398436000000260e+01
-5.616258330000000143e+01,-3.490614380000000239e+01
-5.615667445999999785e+01,-3.490403437999999881e+01
-5.616154367000000036e+01,-3.490439137999999986e+01
-5.615454975000000104e+01,-3.490709308999999649e+01
-5.614178940000000040e+01,-3.490666897999999918e+01
-5.614426132999999908e+01,-3.490567853000000298e+01
-5.614401979000000154e+01,-3.490710411999999963e+01
-5.614416880000000276e+01,-3.490711806000000195e+01
-5.614485214999999840e+01,-3.490668074999999959e+01
-5.614506199000000208e+01,-3.490612284000000187e+01
-5.614619607000000201e+01,-3.490670345000000196e+01
-5.614617645999999951e+01,-3.490770849999999825e+01
-5.612674716000000075e+01,-3.484599905999999692e+01
-5.612845676999999966e+01,-3.484652429999999868e+01
-5.613445481000000115e+01,-3.489053029000000095e+01
-5.613510380999999683e+01,-3.488954688999999831e+01
-5.612679573999999860e+01,-3.484442099000000326e+01
-5.612697637000000128e+01,-3.484393561000000261e+01
-5.611733103000000256e+01,-3.484477136999999658e+01
-5.614326231999999806e+01,-3.490871603000000079e+01
-5.614547398999999928e+01,-3.491093224000000106e+01
-5.614485762999999707e+01,-3.491049278999999927e+01
-5.614445254000000318e+01,-3.491022944000000194e+01
-5.614373755999999815e+01,-3.490977526000000353e+01
-5.614328704999999786e+01,-3.490947565999999824e+01
-5.615995084000000048e+01,-3.490106898999999885e+01
-5.614928134000000171e+01,-3.491252771999999993e+01
-5.614767779999999675e+01,-3.490816545999999931e+01
-5.614745461999999776e+01,-3.490840187999999955e+01
-5.614545414999999906e+01,-3.491050641999999726e+01
-5.614630070999999845e+01,-3.491011865000000114e+01
-5.614666021000000029e+01,-3.491038149999999973e+01
-5.614702557999999755e+01,-3.490958022000000227e+01
-5.614644429999999886e+01,-3.490777437999999933e+01
-5.614430541000000119e+01,-3.490550053999999847e+01
-5.614803340999999648e+01,-3.490890668000000119e+01
-5.614537365999999707e+01,-3.490893798999999831e+01
-5.614680709000000292e+01,-3.490742285000000322e+01
-5.614901643000000320e+01,-3.490644905999999992e+01
-5.615885729000000026e+01,-3.491468370999999848e+01
-5.616036453000000250e+01,-3.491201868000000275e+01
-5.616144752000000295e+01,-3.491434487000000075e+01
-5.623890643000000011e+01,-3.482835499000000112e+01
-5.611207433999999949e+01,-3.486704410000000109e+01
-5.613730127000000181e+01,-3.485472322999999761e+01
-5.613730127000000181e+01,-3.485472322999999761e+01
-5.615587166000000252e+01,-3.488601644999999962e+01
-5.616305669999999850e+01,-3.488547005000000212e+01
-5.615906987000000328e+01,-3.489279468000000151e+01
-5.616426131000000055e+01,-3.489483457000000044e+01
-5.616446367999999723e+01,-3.489132021999999722e+01
-5.616402062000000228e+01,-3.489224437000000023e+01
-5.616303727999999751e+01,-3.490248687999999788e+01
-5.616237189999999657e+01,-3.489026141000000081e+01
-5.614102202000000119e+01,-3.490616032999999874e+01
-5.616206608000000244e+01,-3.488772466999999722e+01
-5.616266866000000135e+01,-3.488717635999999800e+01
-5.615980186000000174e+01,-3.490046774000000340e+01
-5.613727649999999869e+01,-3.483843860999999720e+01
-5.613724116000000208e+01,-3.483651887999999985e+01
-5.613571978000000229e+01,-3.483932200000000279e+01
-5.613446050000000298e+01,-3.483998386999999752e+01
-5.613385089999999877e+01,-3.484415667999999755e+01
-5.613429844000000202e+01,-3.484712597000000045e+01
-5.613330656000000118e+01,-3.484890120000000024e+01
-5.613265449000000018e+01,-3.483957732999999735e+01
-5.613542699999999996e+01,-3.483985921000000019e+01
-5.615529297999999869e+01,-3.491760777999999732e+01
-5.615606120999999717e+01,-3.491544956999999982e+01
-5.615677686000000080e+01,-3.491439660999999717e+01
-5.615721760000000273e+01,-3.491039183000000179e+01
-5.615712432000000121e+01,-3.491195862000000005e+01
-5.611689360999999820e+01,-3.484390006999999656e+01
-5.611634521999999947e+01,-3.484445510999999840e+01
-5.611898667999999901e+01,-3.484511221000000347e+01
-5.613351441999999736e+01,-3.484805336000000153e+01
