Loading matrix data... DONE [0.325 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 286 9.241436259665713E11distancia: 219259.298828125desborde: 0 tiempo: 1.7054898E7
Eval 287 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 288 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 289 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 290 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 291 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 292 9.221467854774888E11distancia: 223766.576171875desborde: 0 tiempo: 1.7228913E7
Eval 293 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 294 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 295 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 296 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 297 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 298 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 299 9.17549337489989E11distancia: 233813.8759765625desborde: 0 tiempo: 1.651223E7
Eval 300 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 301 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 302 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 303 9.352955034403314E11distancia: 192152.966796875desborde: 0 tiempo: 1.6566525E7
Eval 304 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 306 9.363641898834535E11distancia: 189351.990234375desborde: 0 tiempo: 1.501874E7
Eval 305 9.360074163202053E11distancia: 190291.486328125desborde: 0 tiempo: 1.6562728E7
Eval 308 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 307 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 310 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 309 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 311 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 312 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 313 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 314 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 315 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 316 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 317 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 318 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 319 -1.0distancia: 0.0desborde: 1 tiempo: 0.0
Eval 320 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 321 9.468158347513455E11distancia: 159381.7158203125desborde: 0 tiempo: 1.5146574E7
Eval 322 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 323 9.475340094075769E11distancia: 157112.560546875desborde: 0 tiempo: 1.5023514E7
Eval 324 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 325 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 326 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 327 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 328 9.346056091560178E11distancia: 193939.828125desborde: 0 tiempo: 1.6717892E7
Eval 329 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 330 9.362790741282227E11distancia: 189576.3486328125desborde: 0 tiempo: 1.6717921E7
Eval 331 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 332 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 333 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 334 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 335 9.350314810810571E11distancia: 192838.75390625desborde: 0 tiempo: 1.6668343E7
Eval 336 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 337 9.292897849297238E11distancia: 207191.89453125desborde: 0 tiempo: 1.6673596E7
Eval 338 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 339 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 340 -1.0distancia: 0.0desborde: 1 tiempo: 0.0
Eval 341 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 342 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 343 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 344 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 345 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 346 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 347 9.340801567485889E11distancia: 195289.80859375desborde: 0 tiempo: 1.6682601E7
Eval 348 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 349 9.227553384822817E11distancia: 222402.625desborde: 0 tiempo: 1.7223973E7
Eval 350 9.24556191327399E11distancia: 218316.6845703125desborde: 0 tiempo: 1.5051713E7
Eval 351 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
